md5_num v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15
5b5e6ee491b0424c3a8e850bf69010bc 0.56826156 -0.53537357 -0.65401167 0.4229251 -1.2768735 -0.15096654 -0.3370018 0.16649798 -0.16593345 0.7500822 0.50790274 -0.42163852 0.13936396 -0.5868512 -0.62323344
3ee9f102c1aa3eb768a22cc3b2c17ada 0.5850553 -0.54317504 -0.6646794 0.4077579 -1.3243833 -0.13456193 -0.379041 0.16189551 -0.20968096 0.7711027 0.46063653 -0.40100032 0.11262413 -0.5266656 -0.616568
14f4961328048d808533866174a8c305 0.5763475 -0.5094809 -0.61502904 0.4236962 -1.1665591 -0.13963668 -0.36121562 0.18420327 -0.18212654 0.8306025 0.541357 -0.50766087 0.16136439 -0.6018364 -0.58597624
f6fef3745a4963142276ce3957cc80f7 0.57292515 -0.57975763 -0.6086634 0.44315302 -1.2643648 -0.1466695 -0.3484542 0.20782377 -0.1496157 0.75111395 0.4537247 -0.4694943 0.11344367 -0.50968605 -0.550331
89fa3ed0130165498378d7bd40eab996 0.5648298 -0.53415316 -0.62200904 0.42859158 -1.2484424 -0.15354787 -0.36750984 0.17743161 -0.21007553 0.82476026 0.49971792 -0.43233976 0.15159056 -0.5550675 -0.5713054
dcc89038ba0914932a11f11a609b9055 0.6015151 -0.47385728 -0.6435731 0.41623542 -1.2298324 -0.1330315 -0.36945042 0.118131414 -0.18260096 0.7467274 0.45824605 -0.45429903 0.14417417 -0.51812124 -0.5795332
8d9cfcc449501dc36d08436027415e1b 0.54837984 -0.55829746 -0.6353366 0.41126588 -1.2111573 -0.16313304 -0.3621138 0.17905962 -0.20348746 0.7817543 0.53391224 -0.4548906 0.13826026 -0.5920124 -0.61192626
f554b0865315df90cd3152787ee20ddf 0.5845989 -0.53415304 -0.58781165 0.41780704 -1.1948961 -0.13877633 -0.33325216 0.13209994 -0.18777423 0.82981217 0.5292597 -0.43336985 0.13164236 -0.5674151 -0.6009293
80d74eaae837bfe7b78fcf6737e88ec4 0.57766974 -0.5173709 -0.6094026 0.41319683 -1.1967831 -0.16925058 -0.37716353 0.19098575 -0.18332711 0.7889151 0.48568356 -0.40391874 0.12120245 -0.5432508 -0.57147145
e6cb1a2d6d16eca3bc803710573b54c5 0.5561389 -0.5484842 -0.63696873 0.41924962 -1.2380139 -0.17065391 -0.35987425 0.19488631 -0.19155431 0.7963156 0.48768973 -0.45563647 0.12833974 -0.5805352 -0.6054546
d43a7d7219cee417dbd9f54d7b044b00 0.6013998 -0.47547814 -0.62170476 0.4547842 -1.2731179 -0.10498054 -0.37291205 0.16911723 -0.20661074 0.7955002 0.52293843 -0.41041407 0.11847931 -0.5285603 -0.5818287
82a2b629fda61d6b9c05b62fd3345143 0.60619265 -0.53141767 -0.61374277 0.4386896 -1.2238954 -0.17571092 -0.33761302 0.13782544 -0.21977153 0.7627579 0.52281964 -0.44944957 0.14868744 -0.5395342 -0.59859884
06a8b45c719688f903b9433d879286a2 0.5802601 -0.5334883 -0.6501605 0.35440612 -1.2474221 -0.18217315 -0.3714492 0.16305597 -0.17479719 0.7658945 0.45473504 -0.44909066 0.1308146 -0.53653646 -0.585355
a5b15fdc3104b30a1a0b127f766aaffd 0.55418915 -0.5312739 -0.61120135 0.4497698 -1.2736176 -0.1483976 -0.35096738 0.18721443 -0.14439894 0.7693625 0.52886665 -0.42512676 0.14799003 -0.5383684 -0.60133755
41f4e7275b8f046a31843a5773178f7e 0.5495356 -0.55650747 -0.63291824 0.39320135 -1.22052 -0.16425247 -0.35266677 0.17038727 -0.14367853 0.78667 0.5212214 -0.4543633 0.1143337 -0.55390525 -0.5964543
ba64a83bf984bc56ef4fd1deb1a74c26 0.6129749 -0.53588635 -0.6303405 0.38879666 -1.218504 -0.16182297 -0.336993 0.14537102 -0.18294428 0.7964873 0.49749568 -0.46874258 0.11678234 -0.53766406 -0.5919588
fa9b654b1abd1a6a672f6611a8aab88f 0.55874085 -0.5566578 -0.64536196 0.38916823 -1.2112265 -0.17372468 -0.3633307 0.13596858 -0.18163916 0.78045386 0.47044513 -0.4009749 0.12253907 -0.53180844 -0.5833111
032349839272a966f5784974897edbeb 0.618423 -0.53225046 -0.63386506 0.42241594 -1.267432 -0.13590269 -0.3633198 0.14638452 -0.17942984 0.7773704 0.49425095 -0.41518298 0.1030381 -0.54441386 -0.59816617
6a490624ef9c40938bf88d5a4f26d1ca 0.5945999 -0.54009545 -0.6257567 0.3921449 -1.2168133 -0.15601832 -0.35517892 0.15604703 -0.1727684 0.8066799 0.47903425 -0.4236797 0.11011035 -0.57868004 -0.6012744
cf3c143d3cf29d944e4a391b3db3fa7d 0.55777955 -0.5470048 -0.63403016 0.43186998 -1.206837 -0.1413489 -0.3469249 0.16777746 -0.18146837 0.80360794 0.4870553 -0.4566579 0.13444887 -0.56232333 -0.5407521
afda0e0622430382ec94661f925d76cf 0.51603615 -0.5493734 -0.6434933 0.4003424 -1.2254938 -0.17260863 -0.38281497 0.1681843 -0.22170536 0.78892493 0.5001245 -0.39459056 0.09636796 -0.5514725 -0.60201144
e87653dfdb0cb9a700f8992aeab469dd 0.5550913 -0.5224897 -0.6358953 0.36655867 -1.2531968 -0.1565637 -0.3936133 0.17143966 -0.19214976 0.77099156 0.4714751 -0.39400476 0.12755243 -0.5255141 -0.60978425
9451d2de568328ff1b8b4dd2c9e70dbe 0.57241595 -0.5465925 -0.6711717 0.41065827 -1.2387547 -0.15037464 -0.36708233 0.15918736 -0.23102899 0.8392581 0.50130504 -0.43291336 0.080584 -0.54759896 -0.5930581
0e894141c1900cbb11cda6ea971d79e6 -0.38761425 0.08820348 0.7724073 -0.024665155 -0.57437557 -0.5368694 -0.34804234 -1.4472815 0.4650049 0.30628645 0.29652748 -0.009369449 0.27707526 -0.8298468 0.60125047
1718c7adb0601865f85f2029ab69fc5f -0.33828324 0.109521545 0.79268986 -0.085874654 -0.6058014 -0.57791334 -0.37048724 -1.3597869 0.5301908 0.23858856 0.2998082 0.035426598 0.29598343 -0.8272619 0.6399576
18f92394dcca898f4e1a755f9666e2b5 -0.35707885 0.12547073 0.7787157 0.021301568 -0.6099658 -0.55257064 -0.36227822 -1.4005352 0.492015 0.2485672 0.34362632 0.05940326 0.29084894 -0.8268087 0.6412273
bd4e7dc4603f764d0c34930403549996 -0.34455055 0.15921028 0.79005826 -0.04267486 -0.6124119 -0.5444472 -0.33904892 -1.3458432 0.50473267 0.26138008 0.34578156 0.050378807 0.30793425 -0.8155422 0.6116648
cec8389c73d97527d8f8581a8a8523fe -0.38940242 0.0776529 0.7518437 -0.023630477 -0.57762414 -0.52714115 -0.35708493 -1.4075499 0.48117238 0.27633512 0.28512254 0.035988227 0.25655752 -0.8484487 0.62412834
933d4bd883b617965a69dadb4eea5ad0 -0.39340305 0.09791382 0.77769375 -0.031093268 -0.57179177 -0.60607255 -0.39595652 -1.3429799 0.46613467 0.25723413 0.3686116 0.07492602 0.30891532 -0.8722248 0.6288615
